idconsulta,Codusu,fechaconsulta,tipoconsulta,nombre,orden,operacion,idtipogestor,campoOrdenacion,basedatos,idcarpeta,campoFecha,desde,hasta,mantenerFecha,campoFechaAnterior,desdeAnterior,hastaAnterior,mantenerFechaAnterior,basedatosAnterior,operacionAnterior,columnaOrden,tipoOrden,guidConsulta,idgrupo,desde2,hasta2,desestimarAnno,paneles,anchoH,anchoV,empresas,maximo,favorito,modoConsultaLlamada,idCuadroMandos,verVistaPreviaDocs,objetivoConsulta,periodo,etiquetaIndicador1,etiquetaIndicador2,etiquetaIndicador3,etiquetaIndicador4,ponderacion,idCampana,notas,categoria,idAvisoCRM,numEmpresa
382,0,2021-04-29 15:17:22.650000,2,Todos,0,0,43,,,,,,,0,,,,,,,,,405d6dba-7ee0-47b1-a1e2-187741a65928,79,,,,,,,,,,,,False,,,,,,,,,,,,
383,0,2018-10-16 17:25:53.197000,0,Valoraciones,1,0,48,,,,fecha,2022-10-25 00:00:00,2022-10-25 00:00:00,0,,,,,,,fecha,2,9e63721b-4741-4254-a6a8-4701af4d79e0,0,,,0,,,,,0,,,,False,,0,,,,,,,,,,
384,0,2021-10-26 11:32:38.047000,2,Todos,1,0,49,,,,fecha,2021-01-01 00:00:00,2021-12-31 00:00:00,0,,,,,,,Documento,2,3528a3dc-ed5e-425a-bf81-b6dff4049e52,85,,,0,,,,,,,,,False,,10,,,,,,,,,,
385,0,2020-08-28 12:00:13.527000,2,Todos,1,0,51,,,,fechaalta,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,Estado,2,679a31f4-63c1-4b66-bc29-d108b54d10ef,95,,,0,,,,,0,,,,False,,10,,,,,,,,,,
386,0,2021-05-28 11:40:01.700000,2,Todos,1,0,52,,,,fechacierre,2000-01-01 00:00:00,2022-12-31 00:00:00,1,,,,,,,Usuario,2,048468bc-b326-4eb2-8ec1-d61ba040f53f,94,,,0,,,,,,,,,False,,3,,,,,,,,,,
387,0,2021-01-26 16:49:23.980000,2,Todos,0,0,55,,,,,,,0,,,,,,,,,cc09ee6a-03e9-4282-948f-f1fa76393866,106,,,,,,,,,,,,False,,,,,,,,,,,,
388,0,2022-10-26 12:48:59.743000,2,Todos,0,0,55,,,,,,,0,,,,,,,,,11bdfa2b-1401-4a6b-abfa-6f9dc0892cc8,106,,,,,,,,,,,,False,,,,,,,,,,,,
389,0,2021-12-23 17:08:40.467000,2,Diario,1,0,59,,,,fechaAsiento,2022-10-25 00:00:00,2022-10-25 00:00:00,0,,,,,,,,2,bda1dd3b-ec5c-4729-8185-6494be1912df,113,,,0,,,,,,,,,False,,0,,,,,,,,,,
390,0,2022-09-29 17:37:17.183000,2,Pagos,0,0,61,,,,fecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,,2,408c913f-f7c4-4648-a59f-8f189ac7454c,115,,,0,,,,,,,,,False,,10,,,,,,,,,,
391,0,2021-11-17 12:18:06.117000,2,Todos,1,0,62,,,,dfecha,2021-01-01 00:00:00,2021-12-31 00:00:00,0,,,,,,,,2,9f3b16f5-e809-4c55-95e2-305d2d9cf5cd,116,,,0,,,,,,,,,False,,10,,,,,,,,,,
392,0,2022-09-29 15:59:11.900000,2,Tesorería,1,0,63,,,,fecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,,2,94d43bac-8389-4127-9a7f-5727c4a92e47,117,,,0,,,,,,,,,False,,10,,,,,,,,,,
394,0,2024-08-21 09:26:08.700000,0,[Nueva],2,0,40,,,,fecharealizacion,,,0,,,,,,,,,65647953-f611-46cc-b8a1-ba16e77255d7,-1,,,,3,,,,,,,,False,,,,,,,,,,,,
395,0,2024-09-04 14:02:42.623000,0,[Nueva],2,0,41,,,,,,,0,,,,,,,snombrecli,2,c761797f-c643-4179-aa2f-122098987c43,77,,,,,,,,,,,,False,,,,,,,,,,,,
396,0,2024-11-06 14:01:43.170000,0,[Nueva],0,0,41,,,,,,,0,,,,,,,,,4785c56b-e2e3-481d-8f98-cedc4abe917b,77,,,,,,,,,,,,False,,,,,,,,,,,,
397,0,2024-11-12 16:52:30.157000,1012,Campaña IController,0,0,1,,,,dfechaact,2024-11-13 00:00:00,2024-11-13 00:00:00,0,,,,,,,,,003ebf5d-a9ba-4d15-9b16-4dfd80273128,1,,,,,,,,,,,,False,,2,,,,,,1,,,,2
398,0,2024-11-12 16:54:09.343000,1012,Campaña IController,0,0,1,,,,dfechaact,2024-11-12 00:00:00,2024-11-18 00:00:00,0,,,,,,,,,7f59ecac-0e44-437f-8321-0d0082f12cba,1,,,,,,,,,,,,False,,6,,,,,,2,,,,2
399,0,2024-11-12 16:55:34.897000,1012,Campaña IController,0,0,38,,,,,,,0,,,,,,,,,e4960a37-cdbe-4303-abf6-e5a1d95dcc88,71,,,,,,,,,,,,False,,,,,,,,3,,,,2
400,0,2024-11-12 16:57:39.107000,1012,Campaña IController,0,0,38,,,,,,,0,,,,,,,,,fe33fcd6-beb1-42cb-bbf4-5f67d861ff97,71,,,,,,,,,,,,False,,,,,,,,4,,,,2
401,0,2024-11-12 16:58:58.437000,1012,Campaña IController,0,0,6,,,,fecha,2023-11-14 00:00:00,2024-11-12 00:00:00,0,,,,,,,,,ddb026f2-9084-4b84-a1ea-bfd31b4c8419,13,,,,,,,,,,,,False,,12,,,,,,5,,,,2
402,0,2024-11-12 17:02:27.383000,1012,Campaña IController,0,0,38,,,,,,,0,,,,,,,,,a22cbaad-427a-4c26-801e-19031dfb42ed,71,,,,,,,,,,,,False,,,,,,,,6,,,,2
403,0,2024-11-12 17:04:34.870000,1012,Campaña IController,0,0,38,,,,,,,0,,,,,,,,,a7c6da9c-a219-4bb6-bee7-8a95476b5e26,71,,,,,,,,,,,,False,,,,,,,,7,,,,2
404,0,2024-11-12 17:05:51.430000,1012,Campaña IController,0,0,38,,,,,,,0,,,,,,,,,9d230e13-a37b-411f-8006-58134951f7fb,71,,,,,,,,,,,,False,,,,,,,,8,,,,2
405,0,2024-11-12 17:07:11.203000,1012,Campaña IController,0,0,38,,,,,,,0,,,,,,,,,2c759cbb-5ba3-46cd-a5a5-13baa75896dd,71,,,,,,,,,,,,False,,,,,,,,9,,,,2
406,0,2025-09-11 21:20:16.320000,2,Todos,0,0,74,,,,fechaEnvio,,,0,,,,,,,,,09f8b3e9-06ef-44a8-a55a-48a2176e78ae,131,,,,,,,,,,,,False,,,,,,,,,,,,
